Синоптический индекс станции,year,month,day,hour,Общее количество облачности,Количество облачности нижнего яруса,HLC,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,Слоисто-дождевые облака,Погода между сроками,Погода в срок наблюдения,date,timestamp,datetime
29430,2010,1,23,15,0,0,0,0,0,0,0,0,2.0,2010-01-23 15:00:00,1264258800,2010-01-23 15:00:00
29430,2010,1,23,18,0,0,0,0,0,0,0,0,2.0,2010-01-23 18:00:00,1264269600,2010-01-23 18:00:00
29430,2010,1,23,21,0,0,0,0,0,0,0,0,2.0,2010-01-23 21:00:00,1264280400,2010-01-23 21:00:00
29430,2010,1,24,0,0,0,0,0,0,0,0,0,2.0,2010-01-24 00:00:00,1264291200,2010-01-24 00:00:00
29430,2010,1,24,3,2,0,2,0,0,0,0,0,2.0,2010-01-24 03:00:00,1264302000,2010-01-24 03:00:00
29430,2010,1,24,6,0,0,0,0,0,0,0,0,2.0,2010-01-24 06:00:00,1264312800,2010-01-24 06:00:00
29430,2010,1,24,9,0,0,0,0,0,0,0,0,2.0,2010-01-24 09:00:00,1264323600,2010-01-24 09:00:00
29430,2010,1,24,12,0,0,0,0,0,0,0,0,2.0,2010-01-24 12:00:00,1264334400,2010-01-24 12:00:00
29430,2010,1,24,18,12,5,0,1,0,2,0,1,2.0,2010-01-24 18:00:00,1264356000,2010-01-24 18:00:00
29430,2010,1,25,3,10,3,1,1,0,2,0,2,2.0,2010-01-25 03:00:00,1264388400,2010-01-25 03:00:00
29430,2010,1,25,6,10,0,1,1,0,0,0,2,2.0,2010-01-25 06:00:00,1264399200,2010-01-25 06:00:00
29430,2010,1,25,15,0,0,0,0,0,0,0,7,36.0,2010-01-25 15:00:00,1264431600,2010-01-25 15:00:00
29430,2010,1,25,18,0,0,0,0,0,0,0,3,2.0,2010-01-25 18:00:00,1264442400,2010-01-25 18:00:00
29430,2010,1,25,21,0,0,0,0,0,0,0,3,2.0,2010-01-25 21:00:00,1264453200,2010-01-25 21:00:00
29430,2010,1,26,0,0,0,0,0,0,0,0,3,2.0,2010-01-26 00:00:00,1264464000,2010-01-26 00:00:00
29430,2010,1,26,3,0,0,0,0,0,0,0,0,2.0,2010-01-26 03:00:00,1264474800,2010-01-26 03:00:00
29430,2010,1,26,6,0,0,0,0,0,0,0,0,76.0,2010-01-26 06:00:00,1264485600,2010-01-26 06:00:00
29430,2010,1,26,9,0,0,0,0,0,0,0,0,4.0,2010-01-26 09:00:00,1264496400,2010-01-26 09:00:00
29430,2010,1,26,12,0,0,0,0,0,0,0,0,4.0,2010-01-26 12:00:00,1264507200,2010-01-26 12:00:00
29430,2010,1,26,15,0,0,0,0,0,0,0,0,4.0,2010-01-26 15:00:00,1264518000,2010-01-26 15:00:00
29430,2010,1,26,18,6,0,1,0,0,0,0,1,2.0,2010-01-26 18:00:00,1264528800,2010-01-26 18:00:00
29430,2010,1,26,21,5,0,1,0,0,0,0,1,2.0,2010-01-26 21:00:00,1264539600,2010-01-26 21:00:00
29430,2010,1,27,0,7,0,3,0,0,0,0,1,2.0,2010-01-27 00:00:00,1264550400,2010-01-27 00:00:00
29430,2010,1,27,3,10,0,1,0,0,0,0,2,2.0,2010-01-27 03:00:00,1264561200,2010-01-27 03:00:00
29430,2010,1,27,6,10,0,1,0,0,0,0,2,2.0,2010-01-27 06:00:00,1264572000,2010-01-27 06:00:00
29430,2010,1,27,9,10,0,1,0,0,0,0,2,2.0,2010-01-27 09:00:00,1264582800,2010-01-27 09:00:00
29430,2010,1,27,12,10,0,1,1,0,0,0,2,2.0,2010-01-27 12:00:00,1264593600,2010-01-27 12:00:00
29430,2010,1,27,15,6,0,1,0,0,0,0,2,2.0,2010-01-27 15:00:00,1264604400,2010-01-27 15:00:00
29430,2010,1,27,18,0,0,0,0,0,0,0,1,2.0,2010-01-27 18:00:00,1264615200,2010-01-27 18:00:00
29430,2010,1,27,21,3,0,1,0,0,0,0,0,2.0,2010-01-27 21:00:00,1264626000,2010-01-27 21:00:00
29430,2010,1,28,0,3,0,1,0,0,0,0,0,2.0,2010-01-28 00:00:00,1264636800,2010-01-28 00:00:00
29430,2010,1,28,3,3,0,1,0,0,0,0,0,2.0,2010-01-28 03:00:00,1264647600,2010-01-28 03:00:00
29430,2010,1,28,6,0,0,0,0,0,0,0,0,2.0,2010-01-28 06:00:00,1264658400,2010-01-28 06:00:00
29430,2010,1,28,9,3,0,1,0,0,0,0,0,2.0,2010-01-28 09:00:00,1264669200,2010-01-28 09:00:00
29430,2010,1,28,12,0,0,0,0,0,0,0,0,2.0,2010-01-28 12:00:00,1264680000,2010-01-28 12:00:00
29430,2010,1,28,15,0,0,0,0,0,0,0,0,2.0,2010-01-28 15:00:00,1264690800,2010-01-28 15:00:00
29430,2010,1,28,18,0,0,0,0,0,0,0,0,2.0,2010-01-28 18:00:00,1264701600,2010-01-28 18:00:00
29430,2010,1,28,21,0,0,0,0,0,0,0,0,2.0,2010-01-28 21:00:00,1264712400,2010-01-28 21:00:00
29430,2010,1,29,0,0,0,0,0,0,0,0,0,2.0,2010-01-29 00:00:00,1264723200,2010-01-29 00:00:00
29430,2010,1,29,3,4,0,1,1,0,0,0,0,2.0,2010-01-29 03:00:00,1264734000,2010-01-29 03:00:00
29430,2010,1,29,6,3,0,1,0,0,0,0,0,2.0,2010-01-29 06:00:00,1264744800,2010-01-29 06:00:00
29430,2010,1,29,9,2,0,1,0,0,0,0,0,2.0,2010-01-29 09:00:00,1264755600,2010-01-29 09:00:00
29430,2010,1,29,12,0,0,0,0,0,0,0,0,2.0,2010-01-29 12:00:00,1264766400,2010-01-29 12:00:00
